location,State,County,Location,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,new_county
"North Dakota, Walsh",North Dakota,Walsh,"North Dakota, Walsh",12354,12150,11883,11814,11695,11639,11501,11355,11296,11195,"11,114","11,025","11,024","11,081","10,907","10,852","10,816",Walsh
"North Dakota, Ward",North Dakota,Ward,"North Dakota, Ward",58839,58246,57741,57193,58054,57878,58030,58297,58670,60213,"62,121","64,209","64,863","67,398","68,869","70,703","69,489",Ward
"North Dakota, Wells",North Dakota,Wells,"North Dakota, Wells",5074,4886,4794,4694,4625,4552,4404,4317,4253,4202,"4,192","4,198","4,235","4,150","4,125","4,095","4,049",Wells
"North Dakota, Williams",North Dakota,Williams,"North Dakota, Williams",19705,19610,19729,19705,19724,19855,20122,20547,20928,21820,"22,589","24,406","26,735","29,591","32,106","35,301","34,213",Williams
"Ohio, Adams",Ohio,Adams,"Ohio, Adams",27317,27522,27817,28111,28328,28522,28615,28538,28686,28500,"28,537","28,459","28,293","28,089","28,066","27,926","27,807",Adams
"Ohio, Allen",Ohio,Allen,"Ohio, Allen",108589,108523,108518,107418,106826,106861,106716,106717,106773,106518,"106,358","105,988","105,244","105,055","104,848","104,095","103,613",Allen
"Ohio, Ashland",Ohio,Ashland,"Ohio, Ashland",52502,52560,52595,52867,52852,53048,53231,53544,53499,53305,"53,321","53,252","53,239","53,153","53,161","53,310","53,520",Ashland
"Ohio, Ashtabula",Ohio,Ashtabula,"Ohio, Ashtabula",102705,102450,102577,102667,102648,102638,102340,102156,101826,101584,"101,403","101,085","100,252","99,746","99,027","98,404","98,171",Ashtabula
"Ohio, Athens",Ohio,Athens,"Ohio, Athens",62324,62997,63401,63827,63230,64075,64237,64102,64546,64618,"65,173","65,079","64,610","64,594","64,783","65,886","66,352",Athens
"Ohio, Auglaize",Ohio,Auglaize,"Ohio, Auglaize",46186,46137,45943,45872,45932,46166,46034,45977,46167,45996,"45,898","45,741","45,770","45,801","45,737","45,734","45,766",Auglaize
"Ohio, Belmont",Ohio,Belmont,"Ohio, Belmont",70172,69901,70293,70219,70241,70203,70469,70430,70356,70439,"70,333","70,122","69,709","69,563","69,367","68,973","68,606",Belmont
"Ohio, Brown",Ohio,Brown,"Ohio, Brown",42566,42839,43368,43794,43995,44161,44334,44490,44668,44740,"44,863","44,629","44,281","44,111","43,933","43,697","43,638",Brown
"Ohio, Butler",Ohio,Butler,"Ohio, Butler",333368,336679,339514,343022,346655,350732,356691,361192,364179,366633,"369,102","370,123","370,550","371,395","373,750","375,998","378,354",Butler
"Ohio, Carroll",Ohio,Carroll,"Ohio, Carroll",28851,28961,29172,29325,29297,29118,29163,29062,28999,28917,"28,846","28,820","28,538","28,257","28,129","27,718","27,621",Carroll
"Ohio, Champaign",Ohio,Champaign,"Ohio, Champaign",38941,39047,39280,39395,39565,39592,40018,40127,40263,40265,"40,078","39,824","39,573","39,461","39,078","38,963","38,741",Champaign
"Ohio, Clark",Ohio,Clark,"Ohio, Clark",144605,143803,143229,141758,141380,141367,140668,139829,139404,138778,"138,274","137,811","137,171","136,638","136,311","135,746","134,723",Clark
"Ohio, Clermont",Ohio,Clermont,"Ohio, Clermont",177960,179845,182143,184446,187281,189486,192209,194346,195891,196512,"197,604","198,859","199,487","200,447","201,454","201,995","203,165",Clermont
"Ohio, Clinton",Ohio,Clinton,"Ohio, Clinton",40566,40777,41042,41250,41557,41775,42499,42576,42656,42418,"41,922","41,913","41,819","41,864","41,805","41,839","41,887",Clinton
"Ohio, Columbiana",Ohio,Columbiana,"Ohio, Columbiana",112048,111370,111097,111000,110627,109784,109673,109153,108469,107948,"107,890","107,419","106,620","105,959","105,621","104,714","103,817",Columbiana
"Ohio, Coshocton",Ohio,Coshocton,"Ohio, Coshocton",36724,36975,37149,37288,37421,37363,37339,37184,36953,36878,"36,938","36,931","36,823","36,723","36,531","36,577","36,617",Coshocton
"Ohio, Crawford",Ohio,Crawford,"Ohio, Crawford",46827,46533,46271,45928,45776,45536,44907,44634,44291,43921,"43,754","43,310","42,776","42,713","42,407","42,324","42,095",Crawford
"Ohio, Cuyahoga",Ohio,Cuyahoga,"Ohio, Cuyahoga",1391959,1382520,1371493,1359929,1346714,1330612,1312816,1301540,1291479,1285082,"1,278,088","1,270,331","1,266,106","1,265,442","1,263,201","1,258,739","1,254,144",Cuyahoga
"Ohio, Darke",Ohio,Darke,"Ohio, Darke",53291,53110,53011,53190,53236,53200,53023,52996,52909,52829,"52,963","52,653","52,515","52,306","52,184","51,981","51,624",Darke
"Ohio, Defiance",Ohio,Defiance,"Ohio, Defiance",39461,39456,39303,39209,39115,39049,39154,39123,39250,39060,"39,082","39,005","38,827","38,564","38,525","38,326","38,140",Defiance
"Ohio, Delaware",Ohio,Delaware,"Ohio, Delaware",111759,118646,126172,133842,141348,149153,156164,161796,166652,170676,"175,099","178,535","181,127","185,380","189,440","193,391","197,144",Delaware
"Ohio, Erie",Ohio,Erie,"Ohio, Erie",79662,79308,78762,78673,78596,78070,77876,77668,77573,77085,"76,978","76,687","76,428","76,053","75,809","75,360","74,999",Erie
"Ohio, Fairfield",Ohio,Fairfield,"Ohio, Fairfield",123485,126245,129355,132770,136074,138745,141005,142915,144029,145446,"146,417","147,174","147,301","148,796","150,360","151,254","152,789",Fairfield
"Ohio, Fayette",Ohio,Fayette,"Ohio, Fayette",28495,28310,28370,28450,28470,28695,28791,28908,28896,28929,"29,014","28,867","28,767","28,686","28,650","28,611","28,670",Fayette
"Ohio, Franklin",Ohio,Franklin,"Ohio, Franklin",1072018,1082938,1088693,1095250,1099603,1105497,1115924,1127174,1141183,1155408,"1,166,202","1,180,800","1,199,045","1,218,878","1,238,362","1,257,386","1,274,450",Franklin
"Ohio, Fulton",Ohio,Fulton,"Ohio, Fulton",42104,42169,42275,42402,42777,42897,42785,42800,42780,42747,"42,629","42,363","42,330","42,199","42,403","42,301","42,306",Fulton
"Ohio, Gallia",Ohio,Gallia,"Ohio, Gallia",31072,31017,31083,31095,31029,30993,30927,30977,30997,30857,"31,072","31,031","30,886","30,685","30,463","30,249","30,186",Gallia
"Ohio, Geauga",Ohio,Geauga,"Ohio, Geauga",91179,91429,91970,93042,93218,93614,93839,93742,93583,93446,"93,389","93,292","93,771","93,846","93,979","93,894","93,845",Geauga
"Ohio, Greene",Ohio,Greene,"Ohio, Greene",148401,149643,151537,153064,155442,156223,157850,159055,160115,161075,"161,588","163,566","164,335","163,907","164,673","164,272","165,290",Greene
"Ohio, Guernsey",Ohio,Guernsey,"Ohio, Guernsey",40803,40860,40991,41138,40965,40752,40600,40531,40347,40242,"40,155","39,910","39,876","39,706","39,690","39,392","39,211",Guernsey
"Ohio, Hamilton",Ohio,Hamilton,"Ohio, Hamilton",844124,840335,832390,825139,817306,810352,804913,801815,799840,802149,"802,278","800,658","802,409","805,182","807,617","809,527","811,332",Hamilton
"Ohio, Hancock",Ohio,Hancock,"Ohio, Hancock",71321,71972,72617,73118,73532,73585,74167,74712,74781,74964,"74,689","74,912","75,459","75,581","75,281","75,678","75,831",Hancock
"Ohio, Hardin",Ohio,Hardin,"Ohio, Hardin",31952,31753,31804,31729,32119,31983,31939,32132,32200,32185,"32,127","31,806","31,632","31,747","31,784","31,616","31,398",Hardin
"Ohio, Harrison",Ohio,Harrison,"Ohio, Harrison",15854,15796,15902,16002,15856,15907,15868,15901,15856,15860,"15,825","15,790","15,684","15,602","15,519","15,395","15,252",Harrison
"Ohio, Henry",Ohio,Henry,"Ohio, Henry",29177,29055,29119,29021,29014,29031,29026,28671,28523,28322,"28,171","28,002","27,824","27,824","27,597","27,481","27,282",Henry
"Ohio, Highland",Ohio,Highland,"Ohio, Highland",41019,41295,41857,42269,42938,42967,43562,43845,43700,43578,"43,621","43,378","42,964","43,195","43,093","42,960","43,006",Highland
"Ohio, Hocking",Ohio,Hocking,"Ohio, Hocking",28262,28452,28653,28823,28962,29058,29097,29418,29445,29358,"29,478","29,466","29,304","28,653","28,743","28,500","28,393",Hocking
"Ohio, Holmes",Ohio,Holmes,"Ohio, Holmes",39049,39805,40475,40844,41370,41630,41828,41826,42029,42275,"42,473","42,793","43,128","43,604","43,788","43,882","43,847",Holmes
"Ohio, Huron",Ohio,Huron,"Ohio, Huron",59611,59620,59917,59947,60011,60116,60113,60086,60121,59754,"59,560","59,416","59,204","58,825","58,610","58,307","58,367",Huron
"Ohio, Jackson",Ohio,Jackson,"Ohio, Jackson",32633,32670,32846,32880,33025,33242,33135,33144,33164,33115,"33,248","33,124","32,869","32,801","32,761","32,559","32,528",Jackson
"Ohio, Jefferson",Ohio,Jefferson,"Ohio, Jefferson",73663,73043,72416,72122,71774,71251,70656,70114,69989,69833,"69,670","69,035","68,538","68,168","67,876","67,495","66,944",Jefferson
"Ohio, Knox",Ohio,Knox,"Ohio, Knox",54616,55460,56377,57232,57995,58641,59194,59843,60348,60633,"61,090","61,283","60,764","60,858","61,000","61,001","60,909",Knox
"Ohio, Lake",Ohio,Lake,"Ohio, Lake",227548,227648,227747,227232,227829,227647,228203,228930,229904,229954,"230,014","229,988","229,564","230,075","229,857","229,836","229,525",Lake
"Ohio, Lawrence",Ohio,Lawrence,"Ohio, Lawrence",62237,61965,61847,62197,62169,62476,62798,62748,62640,62667,"62,424","62,415","62,146","61,858","61,539","60,923","60,691",Lawrence
"Ohio, Licking",Ohio,Licking,"Ohio, Licking",146268,148226,150061,152582,155264,157950,160263,162375,163916,165283,"166,705","167,164","167,589","168,461","169,410","170,611","171,993",Licking
"Ohio, Logan",Ohio,Logan,"Ohio, Logan",45984,45865,46089,46257,46247,46066,45902,46154,46115,46055,"45,743","45,623","45,410","45,393","45,473","45,250","45,128",Logan
"Ohio, Lorain",Ohio,Lorain,"Ohio, Lorain",285095,285827,287489,290622,292125,294873,297259,298609,299814,300893,"301,478","301,874","301,712","303,098","304,464","305,417","306,607",Lorain
"Ohio, Lucas",Ohio,Lucas,"Ohio, Lucas",454904,454855,454240,453778,451255,449224,446769,445482,443909,442603,"441,434","439,359","436,753","436,156","434,585","433,633","432,879",Lucas
"Ohio, Madison",Ohio,Madison,"Ohio, Madison",40218,40256,40539,40879,41122,41292,41865,42392,43163,43353,"43,434","43,114","42,991","43,256","43,980","44,139","43,377",Madison
"Ohio, Mahoning",Ohio,Mahoning,"Ohio, Mahoning",257104,255264,252998,251696,249825,247702,246112,243453,241572,240050,"238,381","237,363","235,702","234,393","233,391","231,846","230,269",Mahoning
"Ohio, Marion",Ohio,Marion,"Ohio, Marion",66135,66156,66188,66372,66361,66468,66345,66487,66840,66497,"66,458","66,599","66,277","65,964","65,791","65,431","65,467",Marion
"Ohio, Medina",Ohio,Medina,"Ohio, Medina",151751,154363,157502,160325,163048,164953,167298,168775,170330,171688,"172,509","173,504","173,623","174,639","175,855","176,126","176,876",Medina
"Ohio, Meigs",Ohio,Meigs,"Ohio, Meigs",23028,23119,23305,23441,23506,23588,23586,23612,23534,23770,"23,731","23,648","23,572","23,443","23,277","23,180","23,166",Meigs
"Ohio, Mercer",Ohio,Mercer,"Ohio, Mercer",40913,40819,40843,40841,40889,40967,41063,41055,41022,40855,"40,788","40,715","40,705","40,615","40,730","40,723","40,715",Mercer
"Ohio, Miami",Ohio,Miami,"Ohio, Miami",99015,99300,99579,100120,100775,101564,102028,102130,102430,102526,"102,487","102,734","102,934","103,213","103,856","104,075","104,553",Miami
"Ohio, Monroe",Ohio,Monroe,"Ohio, Monroe",15172,15107,15006,15048,15113,14943,14818,14774,14833,14742,"14,609","14,613","14,502","14,503","14,357","14,253","14,083",Monroe
"Ohio, Montgomery",Ohio,Montgomery,"Ohio, Montgomery",558522,555536,553170,551742,549713,546979,543620,540667,537664,535294,"535,597","534,558","534,334","534,270","532,488","531,777","531,818",Montgomery
"Ohio, Morgan",Ohio,Morgan,"Ohio, Morgan",14944,14942,14917,14999,15130,15216,15189,15175,15104,15073,"15,034","15,036","14,930","14,894","14,730","14,735","14,733",Morgan
"Ohio, Morrow",Ohio,Morrow,"Ohio, Morrow",31813,32438,32955,33524,34025,34271,34561,34937,34877,34907,"34,790","34,810","34,834","34,846","34,937","34,943","34,922",Morrow
"Ohio, Muskingum",Ohio,Muskingum,"Ohio, Muskingum",84732,84789,85247,85418,85589,85696,86023,85939,85874,85779,"86,214","86,243","85,794","85,649","85,905","86,194","85,993",Muskingum
"Ohio, Noble",Ohio,Noble,"Ohio, Noble",14108,13857,13931,14221,14352,14210,14616,14614,14653,14649,"14,660","14,752","14,677","14,678","14,532","14,467","14,441",Noble
"Ohio, Ottawa",Ohio,Ottawa,"Ohio, Ottawa",40983,41015,41029,41329,41564,41629,41641,41690,41554,41498,"41,359","41,320","41,242","41,035","40,903","40,754","40,488",Ottawa
"Ohio, Paulding",Ohio,Paulding,"Ohio, Paulding",20251,20183,19972,19887,19803,19810,19748,19735,19670,19659,"19,557","19,369","19,248","19,143","18,975","18,959","18,839",Paulding
"Ohio, Perry",Ohio,Perry,"Ohio, Perry",34099,34375,34629,34944,35117,35254,35430,35582,36150,35996,"36,037","36,232","35,984","36,000","35,926","35,967","35,998",Perry
"Ohio, Pickaway",Ohio,Pickaway,"Ohio, Pickaway",52808,52344,51778,51983,52238,52954,54094,55044,55376,55323,"55,740","55,948","56,237","56,355","56,704","56,989","57,545",Pickaway
"Ohio, Pike",Ohio,Pike,"Ohio, Pike",27688,27807,28072,28258,28427,28299,28590,28645,28763,28679,"28,612","28,479","28,371","28,272","28,181","28,117","28,093",Pike
"Ohio, Portage",Ohio,Portage,"Ohio, Portage",152504,153554,154667,155976,156774,157469,157773,159148,160184,161226,"161,386","161,875","161,383","161,695","162,463","162,594","162,521",Portage
"Ohio, Preble",Ohio,Preble,"Ohio, Preble",42381,42427,42587,42640,42613,42584,42651,42561,42688,42424,"42,170","41,986","41,812","41,671","41,495","41,297","41,157",Preble
"Ohio, Putnam",Ohio,Putnam,"Ohio, Putnam",34750,34746,34643,34758,34680,34798,34781,34752,34655,34583,"34,476","34,385","34,207","34,123","34,198","34,026","34,007",Putnam
"Ohio, Richland",Ohio,Richland,"Ohio, Richland",128853,128187,128363,128312,128094,127724,127292,126995,126128,125308,"124,162","123,144","122,633","122,314","121,999","121,688","121,242",Richland
"Ohio, Ross",Ohio,Ross,"Ohio, Ross",73507,73840,74363,75008,75251,75935,76639,77419,77675,77862,"78,098","77,581","77,341","77,283","77,095","77,049","76,848",Ross
"Ohio, Sandusky",Ohio,Sandusky,"Ohio, Sandusky",61812,61788,61918,61784,61930,61865,61745,61571,61184,61039,"60,885","60,609","60,467","60,049","59,827","59,475","59,317",Sandusky
"Ohio, Scioto",Ohio,Scioto,"Ohio, Scioto",79168,78784,78652,78278,77788,77926,78285,78775,79133,79241,"79,664","79,408","78,783","78,304","77,476","76,992","76,436",Scioto
"Ohio, Seneca",Ohio,Seneca,"Ohio, Seneca",58588,58376,58090,58006,57857,57664,57406,57289,57199,56897,"56,618","56,522","56,106","55,847","55,803","55,650","55,467",Seneca
"Ohio, Shelby",Ohio,Shelby,"Ohio, Shelby",48360,48662,48671,48766,48791,49044,49099,49284,49454,49540,"49,349","49,259","49,159","49,203","48,995","49,030","48,765",Shelby
"Ohio, Stark",Ohio,Stark,"Ohio, Stark",378036,377295,376867,376721,376663,376050,376180,376877,377141,376210,"375,372","374,511","374,891","375,108","375,546","374,715","373,447",Stark
"Ohio, Summit",Ohio,Summit,"Ohio, Summit",543442,544554,544866,545163,545037,545029,544660,544275,543116,542135,"541,645","541,325","540,726","541,926","542,445","541,788","541,003",Summit
"Ohio, Trumbull",Ohio,Trumbull,"Ohio, Trumbull",224912,223991,222484,220889,219540,217926,216185,214296,212191,211290,"209,840","208,834","207,191","206,328","204,973","203,328","201,715",Trumbull
"Ohio, Tuscarawas",Ohio,Tuscarawas,"Ohio, Tuscarawas",91043,91319,91735,92015,92348,92286,92271,92511,92634,92584,"92,543","92,483","92,413","92,602","92,652","92,739","92,560",Tuscarawas
"Ohio, Union",Ohio,Union,"Ohio, Union",41338,42859,43517,44665,45819,46952,48589,49906,50856,51798,"52,464","53,095","52,796","53,436","53,773","54,388","55,581",Union
"Ohio, Van Wert",Ohio,Van Wert,"Ohio, Van Wert",29627,29430,29327,29288,29322,29264,29342,29182,29075,28849,"28,678","28,625","28,636","28,347","28,334","28,319","28,177",Van Wert
"Ohio, Vinton",Ohio,Vinton,"Ohio, Vinton",12825,12966,13076,13260,13308,13370,13516,13566,13452,13474,"13,405","13,380","13,221","13,303","13,210","13,082","13,022",Vinton
"Ohio, Warren",Ohio,Warren,"Ohio, Warren",161716,167851,174833,181976,188904,195499,200630,205258,208640,211231,"213,429","215,332","217,212","219,216","221,267","223,864","226,539",Warren
"Ohio, Washington",Ohio,Washington,"Ohio, Washington",63180,62847,62638,62759,62924,62547,62387,62253,62040,61968,"61,713","61,607","61,447","61,364","61,160","61,020","60,598",Washington
"Ohio, Wayne",Ohio,Wayne,"Ohio, Wayne",111668,112161,112684,113067,113240,113603,114263,114224,114610,114588,"114,394","114,649","115,029","115,400","115,912","116,214","116,613",Wayne
"Ohio, Williams",Ohio,Williams,"Ohio, Williams",39199,39085,38959,38753,38719,38546,38547,38532,38297,37950,"37,512","37,584","37,521","37,426","37,195","37,007","36,937",Williams
"Ohio, Wood",Ohio,Wood,"Ohio, Wood",121199,122013,122206,122826,124149,124698,125027,125285,125275,125384,"125,950","127,124","128,425","129,013","129,337","129,285","129,768",Wood
"Ohio, Wyandot",Ohio,Wyandot,"Ohio, Wyandot",22894,22787,22813,22816,22914,22820,22729,22716,22642,22644,"22,588","22,643","22,545","22,460","22,283","22,176","22,071",Wyandot
"Oklahoma, Adair",Oklahoma,Adair,"Oklahoma, Adair",21031,21101,21271,21445,21589,21887,22215,22345,22346,22477,"22,756","22,667","22,468","22,460","22,384","22,259","22,305",Adair
